"","STRUCTURE_NUMBER_008","YEAR_BUILT_027","COUNTY_CODE_003","DECK_COND_058","LAT_016","LONG_017","TOTAL_IMP_COST_096"
"150","B02002300000000",1982,3,"7",46254910,90502680,0
"151","B02002500000000",1985,3,"5",46140234,90401262,0
"152","B02002600000000",1987,3,"5",46200647,90390715,0
"153","B02002700000000",1986,3,"7",46132720,90373390,0
"154","B02002800000000",1988,3,"7",46093020,90330710,0
"155","B02002900000000",1988,3,"7",46101980,90365430,0
"156","B02003000000000",1988,3,"7",46254200,90505070,0
"157","B02003100000000",1970,3,"7",46061420,90391370,253
"158","B02003200000000",1990,3,"7",46250971,90541384,0
"159","B02003300000000",1989,3,"6",46192737,90393767,0
"160","B02003400000000",1990,3,"7",46082857,90304998,0
"161","B02003500000000",1990,3,"7",46252900,90475420,0
"162","B02003600000000",1989,3,"7",46231770,90360410,0
"163","B02003700000000",1990,3,"8",46143780,90410290,0
"164","B02003800000000",1990,3,"7",46053640,90361700,0
"165","B02004100000000",1991,3,"7",46234050,90352430,0
"166","B02004200000000",1992,3,"7",46035333,90181164,0
"167","B02004300000000",1993,3,"6",46242029,90340996,0
"168","B02004400000000",1993,3,"7",46191270,90391020,0
"169","B02004500000000",1993,3,"7",46192230,90394790,0
"170","B02004600000000",1997,3,"8",46092502,90371872,0
"171","B02004700000000",1997,3,"7",46074534,90340203,0
"172","B02004900000000",1996,3,"7",46193710,90391070,0
"173","B02005100000000",1997,3,"8",46103610,90311720,0
"174","B02005200000000",1996,3,"7",46153330,90374140,0
"175","B02005300000000",1998,3,"7",46252770,90520780,0
"176","B02005400000000",2001,3,"7",46250120,90441330,0
"177","B02005500000000",1998,3,"7",46125540,90372630,0
"178","B02005600000000",1999,3,"8",46371270,90435700,0
"179","B02005700000000",2000,3,"6",46002559,90295633,0
"180","B02005800000000",2003,3,"8",46082390,90272660,0
"181","B02005900000000",2003,3,"8",46310000,90503600,0
"182","B02006000000000",2004,3,"7",46012710,90291129,0
"183","B02006200000000",2004,3,"7",46122340,90372530,0
"184","B02006400000000",2011,3,"7",46081227,90343211,0
"185","B02041400000000",1926,3,"5",46295143,90543317,0
"186","B02042300000000",1948,3,"7",46160830,90502430,0
"187","B03000200000000",1919,5,"4",45191850,92092470,2070
"188","B03000600000000",1951,5,"6",45302580,91505078,276
"189","B03000800000000",1952,5,"6",45272328,91440810,0
"190","B03000900000000",1958,5,"7",45234562,91513008,0
"191","B03001000000000",1964,5,"8",45242341,91505342,0
"192","B03001100000000",1978,5,"7",45240535,91463936,0
"193","B03001200000000",1970,5,"N",45132412,91524980,0
"194","B03001300000000",1970,5,"N",45224239,91513062,0
"195","B03001400000000",1972,5,"4",45131787,91345690,877
"196","B03001500000000",1972,5,"4",45131659,91345125,919
"197","B03001600000000",1972,5,"5",45152750,91364585,0
"198","B03001700000000",1972,5,"7",45152629,91364098,0
"199","B03001800000000",1972,5,"5",45172462,91383792,0
"200","B03001900000000",1972,5,"5",45172589,91383637,0
"201","B03002000000000",1972,5,"5",45180467,91391811,0
"202","B03002100000000",1972,5,"5",45180480,91391388,0
"203","B03002200000000",1972,5,"7",45175830,91393853,0
"204","B03002300000000",1972,5,"4",45181311,91392925,1052
"205","B03002400000000",1972,5,"5",45181282,91393260,0
"206","B03002500000000",1972,5,"6",45185180,91403556,0
"207","B03002600000000",1972,5,"6",45185298,91403945,0
"208","B03002700000000",1972,5,"6",45191807,91405079,0
"209","B03002800000000",1972,5,"8",45210199,91421119,0
"210","B03002900000000",1972,5,"6",45220793,91433057,0
"211","B03003000000000",1972,5,"5",45224018,91444458,0
"212","B03003100000000",1972,5,"5",45224381,91444279,0
"213","B03003200000000",1972,5,"N",45143920,91355183,0
"214","B03003300000000",1972,5,"N",45144781,91360543,0
